id,industry,median,count,median_group
0,Accommodation,1877.0,417,0 - 2500
1,Activities auxiliary to financial service and insurance activities,2512.0,108,2500 - 3500
2,Activities of extraterritorial organizations and bodies,1408.0,1,0 - 2500
3,Activities of head offices; management consultancy activities,5737.0,63,5000 and more
4,Activities of membership organizations,2035.0,96,0 - 2500
5,Advertising and market research,3003.0,36,2500 - 3500
6,Air transport,2966.5,84,2500 - 3500
7,Architectural and engineering activities; technical testing and analysis,3531.0,120,5000 and more
8,Civil engineering,2100.0,239,0 - 2500
9,"Computer programming, consultancy and related activities",4600.0,122,5000 and more
10,Construction of buildings,1639.0,1225,0 - 2500
11,"Creative, arts and entertainment activities",4025.0,6,5000 and more
12,"Crop and animal production, hunting and related service activities",1425.5,766,0 - 2500
13,Education,5096.0,3061,5000 and more
14,"Electricity, gas, steam and air conditioning supply",3399.5,186,2500 - 3500
15,Employment activities,5628.5,24,5000 and more
16,Extraction of crude petroleum and natural gas,5671.0,96,5000 and more
17,"Financial service activities, except insurance and pension funding",3596.5,470,5000 and more
18,Fishing and aquaculture,1366.5,86,0 - 2500
19,Food and beverage service activities,1284.0,1650,0 - 2500
20,Forestry and logging,2100.0,67,0 - 2500
21,Gambling and betting activities,1422.0,25,0 - 2500
22,Human health activities,3717.0,1117,5000 and more
23,Information service activities,2540.5,10,2500 - 3500
24,"Insurance, reinsurance and pension funding, except compulsory social security",2875.0,116,2500 - 3500
25,Land transport and transport via pipelines,2112.0,841,0 - 2500
26,Legal and accounting activities,3320.0,304,2500 - 3500
27,"Libraries, archives, museums and other cultural activities",2637.0,39,2500 - 3500
28,Manufacture of basic metals,2111.5,190,0 - 2500
29,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1639.0,59,0 - 2500
30,Manufacture of beverages,1627.0,60,0 - 2500
31,Manufacture of chemicals and chemical products,1966.5,194,0 - 2500
32,Manufacture of coke and refined petroleum products,3720.0,63,5000 and more
33,"Manufacture of computer, electronic and optical products",1804.0,1159,0 - 2500
34,Manufacture of electrical equipment,1808.5,134,0 - 2500
35,"Manufacture of fabricated metal products, except machinery and equipment",1695.0,243,0 - 2500
36,Manufacture of food products,1443.5,704,0 - 2500
37,Manufacture of furniture,1731.0,147,0 - 2500
38,Manufacture of leather and related products,2021.5,16,0 - 2500
39,Manufacture of machinery and equipment n.e.c.,2396.0,85,0 - 2500
40,"Manufacture of motor vehicles, trailers and semi-trailers",1766.0,201,0 - 2500
41,Manufacture of other non-metallic mineral products,1636.5,144,0 - 2500
42,Manufacture of other transport equipment,2195.5,78,0 - 2500
43,Manufacture of paper and paper products,1639.0,117,0 - 2500
44,Manufacture of rubber and plastics products,1558.0,355,0 - 2500
45,Manufacture of textiles,1482.0,57,0 - 2500
46,Manufacture of tobacco products,4478.0,5,5000 and more
47,Manufacture of wearing apparel,1367.0,95,0 - 2500
48,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1421.0,242,0 - 2500
49,Mining of coal and lignite,2990.0,4,2500 - 3500
50,Mining of metal ores,3034.0,13,2500 - 3500
51,Mining support service activities,4697.5,94,5000 and more
52,"Motion picture, video and television programme production, sound recording and music publishing activities",2070.0,25,0 - 2500
53,"Office administrative, office support and other business support activities",2300.0,107,0 - 2500
54,Other manufacturing,1530.0,93,0 - 2500
55,Other mining and quarrying,2826.0,61,2500 - 3500
56,Other personal service activities,1587.0,173,0 - 2500
57,"Other professional, scientific and technical activities",3152.0,85,2500 - 3500
58,Postal and courier activities,1906.5,146,0 - 2500
59,Printing and reproduction of recorded media,1858.0,61,0 - 2500
60,Programming and broadcasting activities,3326.0,33,2500 - 3500
61,Public administration and defence; compulsory social security,3491.5,2830,2500 - 3500
62,Publishing activities,2935.5,54,2500 - 3500
63,Real estate activities,3889.0,157,5000 and more
64,Remediation activities and other waste management services,4595.0,1,5000 and more
65,Rental and leasing activities,2080.0,100,0 - 2500
66,Repair and installation of machinery and equipment,2212.0,110,0 - 2500
67,Repair of computers and personal and household goods,2140.0,64,0 - 2500
68,Residential care activities,2566.0,28,2500 - 3500
69,"Retail trade, except of motor vehicles and motorcycles",1422.0,2414,0 - 2500
70,Scientific research and development,3531.0,27,5000 and more
71,Security and investigation activities,1460.0,670,0 - 2500
72,Services to buildings and landscape activities,1260.0,847,0 - 2500
73,Sewerage,2757.5,26,2500 - 3500
74,Social work activities without accommodation,1208.0,51,0 - 2500
75,Specialized construction activities,1911.0,550,0 - 2500
76,Sports activities and amusement and recreation activities,1874.5,112,0 - 2500
77,Telecommunications,3450.0,158,2500 - 3500
78,"Travel agency, tour operator, reservation service and related activities",2196.0,121,0 - 2500
79,Veterinary activities,3370.5,10,2500 - 3500
80,Warehousing and support activities for transportation,2578.5,386,2500 - 3500
81,"Waste collection, treatment and disposal activities; materials recovery",1610.0,97,0 - 2500
82,"Water collection, treatment and supply",2907.5,82,2500 - 3500
83,Water transport,2875.0,56,2500 - 3500
84,Wholesale and retail trade and repair of motor vehicles and motorcycles,1840.0,974,0 - 2500
85,"Wholesale trade, except of motor vehicles and motorcycles",2028.0,681,0 - 2500
