,State,median_salary_male,median_salary_ot_male,median_salary_female,median_salary_ot_female,median_salary_full,median_salary_ot_full,salary_gender_gap,salary_ot_gender_gap,state_name
0,01,2532.0,2564.0,2200.0,2231.0,2429.0,2473.5,332.0,333.0,Johor
1,02,1725.0,1805.0,1554.0,1639.0,1698.0,1748.0,171.0,166.0,Kedah
2,03,1650.0,1650.0,1900.0,1900.0,1650.0,1650.0,-250.0,-250.0,Kelantan
3,04,2332.0,2489.0,1953.5,2160.5,2209.0,2295.0,378.5,328.5,Melaka
4,05,2496.0,2564.0,2261.0,2300.0,2387.0,2500.0,235.0,264.0,Negeri Sembilan
5,06,2247.0,2300.0,2000.0,2081.0,2205.5,2261.0,247.0,219.0,Pahang
6,07,2346.0,2428.5,2070.0,2133.0,2261.0,2300.0,276.0,295.5,Pulau Pinang
7,08,1900.0,1995.0,1670.0,1710.0,1800.0,1840.0,230.0,285.0,Perak
8,09,2070.0,2070.0,1600.0,1600.0,1800.0,1905.0,470.0,470.0,Perlis
9,10,2956.0,2983.0,2788.0,2788.0,2875.0,2875.0,168.0,195.0,Selangor
10,11,1911.0,1911.0,1463.0,1493.0,1911.0,1911.0,448.0,418.0,Terengganu
11,12,1995.0,2015.0,2070.0,2070.0,2031.5,2070.0,-75.0,-55.0,Sabah
12,13,1800.0,1840.0,2070.0,2070.0,1840.0,1977.0,-270.0,-230.0,Sarawak
13,14,3096.0,3096.0,3044.0,3050.0,3096.0,3096.0,52.0,46.0,Wilayah Persekutuan Kuala Lumpur
14,15,2645.0,2741.0,1941.5,1941.5,2515.0,2613.5,703.5,799.5,Wilayah Persekutuan Labuan
15,16,4106.0,4106.0,3710.0,3710.0,4000.0,4000.0,396.0,396.0,Wilayah Persekutuan Putrajaya
